Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Investment Bank/Brokerage,495539.0,3047564.85,2020-09-27,Product_2,100 - 500 Million,Category 4,India,Nellore,mnisha,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Charity officer,Website,Level 1,Following up but lead not responding,"Hanyok,John J",No,2
Architecture/Engineering,150122.0,975793.0,2020-02-25,Product_2,500 Million - 1 Billion,Category 4,USA,"Oklahoma City, OK",Deanna Schaefer,CEO/President,Industrial/product designer,Marketing Event,Level 1,Unknown,"Houston,Arnold E",No,1
Real Estate,295895.0,1642217.25,2019-11-18,Product_2,50 - 100 Million,Category 2,USA,"Hanford-Corcoran, CA",Kelly Noble,CEO,Landscape architect,Others,Level 2,Did not hear back after Level 1,"Ross,Eric L",Deliverable,2
Other Investment Firms,365385.0,2265387.0,2020-08-31,Product_1,50 - 100 Million,Category 3,India,Bhilai,kajal,Chairman/Chief Innovation Officer,"Buyer, retail",Contact Email,Level 3,Following up but lead not responding,"Leu,Darren L",Cannot deliver,3
Banks,435442.0,2852145.1,2019-12-30,Product_2,50 - 100 Million,Category 1,India,Bhagalpur,padma,CEO/Chairman/President,Production engineer,Website,Level 3,No track,"Logan,Kevin N",No,2
Restaurants,288481.0,1687613.85,2020-11-14,Product_2,50 - 100 Million,Category 3,USA,"Cape Girardeau, MO-IL",Christopher Walker,CEO/Co-Founder/Chairman,Sports coach,Contact Email,Level 1,Pending,"Tondeur,Keith D",Cannot deliver,3
REIT,321765.0,1946678.25,2019-03-31,Product_1,100 - 500 Million,Category 2,India,Raipur,asha,CEO/Co-Founder/Chairman,"Buyer, retail",Contact Email,Level 3,More than a week back,"Turner,Marlon D",Yes,1
Financial Services,39425.0,228896.244968372,2019-08-21,Product_2,50 - 100 Million,Category 4,India,Panaji,sakshi,SVP/General Counsel ,"Engineer, building services",Marketing Event,Level 2,Unknown,"Anthony,Katherine D",Yes,4
Marketing/Advertising,32996.0,201275.6,2020-04-21,Product_1,50 - 100 Million,Category 2,India,Vellore,rajkali,Chief Executive Officer,"Engineer, broadcasting (operations)",Marketing Event,Level 3,Did not hear back after Level 1,"Abdul-Hamid,Saud Muhamad",We have all the requirements,4
Telecom Hardware,214941.0,1311140.1,2021-01-19,Product_2,500 Million - 1 Billion,Category 1,India,Itanagar,kajal@ poonam,CEO/Chairman/President,"Scientist, forensic",Others,Level 2,Unknown,"Gilley,Janine",Yes,1
Healthcare Facilities/Services,215434.0,1389549.3,2019-04-20,Product_2,500 Million - 1 Billion,Category 3,USA,"Kankakee, IL",Russell Baker,SVP/General Counsel ,IT consultant,Contact Email,Level 3,2 days back,"Bannister,Joan",Not enough,1
Banks,258822.0,1734107.4,2019-04-26,Product_2,500 Million - 1 Billion,Category 1,USA,"Ocala, FL",Patrick Jacobs,CEO/President,Agricultural engineer,Contact Email,Level 2,Unknown,"Salyers,Daniel L",Not enough,4
Other Biz Services,359499.0,2282818.65,2020-11-29,Product_2,50 - 100 Million,Category 3,India,Chikka Mandya,afsari,SVP/General Counsel ,"Engineer, building services",Website,Level 3,Unknown,"Morsy,Omar A",No,4
Gold/Silver,153496.0,859577.6,2019-09-01,Product_2,100 - 500 Million,Category 3,India,Muzaffarnagar,pratibha pareek,Executive Vice President,Multimedia programmer,Others,Level 1,Up-to-date,"Charles,Caleb",Cannot deliver,4
Semiconductors,385695.0,2545587.0,2019-09-19,Product_1,50 - 100 Million,Category 4,India,Kota,indara,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Horticultural consultant,Marketing Event,Level 3,No track,"Maine,John P",No,2
Banks,120782.0,815278.5,2019-11-11,Product_2,100 - 500 Million,Category 1,India,Ahmedabad,pinki,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Radiation protection practitioner,Others,Level 3,Unknown,"Carter Sr,Clifton E",Deliverable,5
Biotech/Healthcare,128787.0,792040.05,2019-09-03,Product_1,50 - 100 Million,Category 2,India,Ajmer,rakhi,Chief Executive Officer,Counselling psychologist,Marketing Event,Level 2,Up-to-date,"Logan,Kevin N",Not enough,5
Other Consulting,474158.0,2726408.5,2019-08-04,Product_2,50 - 100 Million,Category 2,India,Firozabad,sonia,Executive Vice President,Environmental health practitioner,Marketing Event,Level 2,Pending,"Ross,Eric L",Cannot deliver,1
"Oil, Gas, Coal",488995.0,2839039.170787801,2019-10-21,Product_2,50 - 100 Million,Category 1,USA,"Walla Walla, WA",Jennifer Dougherty,Executive Vice President,"Designer, multimedia",Marketing Event,Level 3,Unknown,"Bannister,Joan",Yes,4
Financial Services,337755.0,2296734.0,2019-06-24,Product_1,50 - 100 Million,Category 1,India,Bikaner,supriya,SVP/General Counsel ,Technical sales engineer,Marketing Event,Level 3,Following up but lead not responding,"Rocks,Michael J",We have all the requirements,4
Banks,265928.0,1529086.0,2019-05-23,Product_1,50 - 100 Million,Category 2,USA,"Minneapolis-St. Paul-Bloomington, MN-WI",John Ray,Chief Executive Officer,Physiotherapist,Contact Email,Level 1,2 days back,"Jones,Eyvette W",Not enough,4
Banks,177061.0,1026953.8,2019-04-02,Product_1,500 Million - 1 Billion,Category 2,USA,"Yuma, AZ",Donna Brown,Chief Executive Officer,"Engineer, technical sales",Others,Level 2,Following up but lead not responding,"Tondeur,Keith D",We have all the requirements,2
Banks,482386.0,3256105.5,2020-01-27,Product_1,500 Million - 1 Billion,Category 2,USA,"Cape Girardeau, MO-IL",Robert Smith,CEO/President,"Copywriter, advertising",Marketing Event,Level 3,No track,"Dyson,William A",Deliverable,4
Health/Accident,411683.0,2408345.55,2019-08-02,Product_1,50 - 100 Million,Category 4,India,Saidapur,anju,Executive Vice President,Astronomer,Others,Level 2,More than 2 weeks,"Hebron,Artenia D",Deliverable,2
Aerospace/Defense,180377.0,1145393.95,2020-05-16,Product_2,50 - 100 Million,Category 3,USA,"Altoona, PA",Taylor Hale,SVP/General Counsel ,Higher education lecturer,Website,Level 3,Did not hear back after Level 1,"Cash,Tyrone J",Deliverable,2
Social Services,331636.0,2072725.0,2020-10-13,Product_1,50 - 100 Million,Category 4,India,Purnea,bhateri @ bhawna,CEO/President,Waste management officer,Others,Level 2,2 days back,"Carter Sr,Clifton E",Deliverable,5
Insurance,478929.0,3017252.7,2020-03-28,Product_1,50 - 100 Million,Category 2,USA,"Huntsville, AL",Victoria Wright,Chairman/Chief Innovation Officer,"Surveyor, rural practice",Contact Email,Level 3,Pending,"Anthony,Katherine D",Yes,3
Insurance,349254.0,2444778.0,2020-10-10,Product_2,500 Million - 1 Billion,Category 1,USA,"Dallas-Fort Worth-Arlington, TX",Tyler West,CEO/President,Architectural technologist,Website,Level 3,2 days back,"Dimattia,Frank D",Not enough,1
Non-Profit,91373.0,530499.3428407116,2020-10-20,Product_1,50 - 100 Million,Category 3,India,Shiliguri,ruka mani devi,Chairman/CEO/President,"Scientist, water quality",Marketing Event,Level 3,No track,"Featherstone,Adrian R",No,2
Marketing/Advertising,487600.0,2633040.0,2019-12-20,Product_1,100 - 500 Million,Category 3,India,Muzaffarpur,rinki,CEO/Co-Founder/Chairman,Ceramics designer,Others,Level 1,?,"Carter Sr,Clifton E",Yes,2
Other Biz Services,365503.0,2122061.235882685,2019-03-23,Product_2,50 - 100 Million,Category 2,USA,"Enid, OK",Christopher Hendrix,Chairman/CEO/President,Product designer,Marketing Event,Level 2,More than a week back,"Charles,Caleb",Deliverable,5
Healthcare Facilities/Services,283482.0,1658369.7,2020-09-24,Product_2,50 - 100 Million,Category 4,India,Adilabad,asha devi,CEO,"Engineer, agricultural",Others,Level 1,Pending,"Charles,Caleb",Cannot deliver,4
Information Services,411698.0,2573112.5,2020-01-15,Product_2,50 - 100 Million,Category 1,India,Bharatpur,simran,SVP/General Counsel ,"Scientist, research (physical sciences)",Marketing Event,Level 1,More than a week back,"Maine,John P",Cannot deliver,3
Online Banking,219351.0,1370943.75,2019-03-05,Product_2,500 Million - 1 Billion,Category 3,India,Alipurduar,nisha,Chairman/Chief Innovation Officer,Heritage manager,Contact Email,Level 3,Following up but lead not responding,"Ross,Eric L",Cannot deliver,2
Financial Services,140119.0,798678.3,2019-06-22,Product_2,100 - 500 Million,Category 2,India,Hata,durga,CEO/Co-Founder/Chairman,Control and instrumentation engineer,Contact Email,Level 2,No track,"Gould,Lisa D",Yes,2
Telecom Consulting,172501.0,966005.6,2019-06-26,Product_2,100 - 500 Million,Category 3,India,Bengaluru,mariyam sarjo,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Interior and spatial designer,Others,Level 2,?,"Ryker,David",Deliverable,2
Materials/Manufacturing,426047.0,2939724.3,2019-08-06,Product_1,500 Million - 1 Billion,Category 4,USA,"Watertown-Fort Drum, NY",Kyle Swanson,SVP/General Counsel ,Chiropractor,Contact Email,Level 2,?,"Houston,Arnold E",Not enough,5
Banks,233040.0,1351632.0,2020-07-05,Product_1,500 Million - 1 Billion,Category 2,India,Vishakhapatnam,pooja,CEO/Chairman/President,Cytogeneticist,Others,Level 2,Pending,"Salyers,Daniel L",We have all the requirements,3
"Oil, Gas, Coal",338257.0,2046454.85,2020-03-27,Product_1,100 - 500 Million,Category 2,India,Ajmer,smt lalidavi,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Historic buildings inspector/conservation officer,Website,Level 2,Unknown,"Cashin,Marc C",Yes,4
Banks,214828.0,1525278.8,2020-03-08,Product_2,100 - 500 Million,Category 1,USA,"New York-Newark-Jersey City, NY-NJ-PA",Brittany Forbes,CEO/Chairman/President,Chief Technology Officer,Website,Level 3,Up-to-date,"Abdul-Hamid,Saud Muhamad",Deliverable,3
Telecom Hardware,141883.0,986086.85,2020-05-15,Product_2,100 - 500 Million,Category 4,India,Porbandar,ku. puja,CEO,Associate Professor,Contact Email,Level 3,?,"Featherstone,Adrian R",Not enough,5
Banks,106928.0,588104.0,2020-03-22,Product_2,50 - 100 Million,Category 2,India,Jammu,simran,Chief Executive Officer,"Designer, blown glass/stained glass",Website,Level 1,Following up but lead not responding,"Houston,Arnold E",Not enough,2
Machine Tools,293117.0,1949228.05,2019-10-21,Product_1,50 - 100 Million,Category 4,USA,"Chico, CA",Michael Diaz,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Librarian, public",Marketing Event,Level 2,Following up but lead not responding,"Logan,Kevin N",Yes,3
Furniture/Fixtures,411636.0,2469816.0,2020-04-16,Product_2,100 - 500 Million,Category 4,India,Chirala,sonam sania,Chairman/CEO/President,Television camera operator,Others,Level 2,2 days back,"Georgakopoulos,Vasilios T",No,1
Banks,220406.0,1366517.2,2019-03-03,Product_1,100 - 500 Million,Category 4,USA,"Pittsfield, MA",Michelle Roberts,CEO/President,Fisheries officer,Others,Level 2,More than 2 weeks,"Maine,John P",Deliverable,1
Financial Services,399409.0,2576188.05,2019-11-15,Product_1,50 - 100 Million,Category 4,India,Aligarh,radha,Chief Executive Officer,"Scientist, forensic",Marketing Event,Level 2,?,"Knox,Antonio D",No,3
Iron/Steel,35154.0,214439.4,2019-11-05,Product_2,500 Million - 1 Billion,Category 3,USA,"Battle Creek, MI",Wayne Chavez,SVP/General Counsel ,"Engineer, biomedical",Contact Email,Level 1,Following up but lead not responding,"Sutton,Michelle R",We have all the requirements,5
Industrial Equip,381689.0,2442809.6,2019-09-07,Product_1,500 Million - 1 Billion,Category 2,USA,"Huntington-Ashland, WV-KY-OH",Joseph Thomas,Executive Vice President,"Buyer, industrial",Marketing Event,Level 1,More than 2 weeks,"Anthony,Katherine D",We have all the requirements,5
Wireless Consulting,220000.0,1287000.0,2021-02-09,Product_1,50 - 100 Million,Category 4,India,Jhansi,priyanka,Chief Executive Officer,Seismic interpreter,Contact Email,Level 1,?,"Hebron,Artenia D",Yes,2
Associations,192941.0,1311998.8,2020-05-26,Product_2,50 - 100 Million,Category 3,USA,"Dalton, GA",James Walsh,Chief Executive Officer,Retail buyer,Marketing Event,Level 3,Following up but lead not responding,"Vickers Jr.,Henry J",Cannot deliver,5
Financial Services,458486.0,3369872.1,2020-06-09,Product_1,100 - 500 Million,Category 4,USA,"Cleveland, TN",Frank Park,Chairman/CEO/President,Herbalist,Marketing Event,Level 3,Pending,"Tondeur,Keith D",No,5
Education/Training,316046.0,1959485.2,2021-01-12,Product_1,100 - 500 Million,Category 4,India,Jammu,mariyam,SVP/General Counsel ,"Secretary, company",Others,Level 2,?,"Green,Candy",We have all the requirements,4
Service Providers,208345.0,1302156.25,2020-10-05,Product_1,100 - 500 Million,Category 2,India,Hisar,priyanka,CEO/Co-Founder/Chairman,Diagnostic radiographer,Contact Email,Level 3,More than 2 weeks,"Thomas,Lori E",We have all the requirements,3
Marketing/Advertising,60672.0,336729.6,2019-10-22,Product_1,50 - 100 Million,Category 3,USA,"Dallas-Fort Worth-Arlington, TX",Brandon Martinez,CEO,Advertising account executive,Others,Level 2,Unknown,"Logan,Kevin N",We have all the requirements,1
Associations,349338.0,2061094.2,2019-11-25,Product_1,100 - 500 Million,Category 2,USA,"Dubuque, IA",Thomas Mills,CEO,"Scientist, research (maths)",Marketing Event,Level 1,?,"Hebron,Artenia D",No,1
Banks,176231.0,1023175.8,2020-06-12,Product_2,50 - 100 Million,Category 2,USA,"Panama City, FL",Jason Smith,Chairman/Chief Innovation Officer,Information officer,Others,Level 1,Up-to-date,"Cashin,Marc C",Cannot deliver,4
Banks,67359.0,377210.4,2019-11-13,Product_1,100 - 500 Million,Category 2,India,Gaya,kavita,CEO,"Scientist, research (life sciences)",Contact Email,Level 1,Did not hear back after Level 1,"Featherstone,Adrian R",We have all the requirements,3
Banks,476854.0,3075708.3,2019-06-16,Product_1,100 - 500 Million,Category 2,USA,"Fond du Lac, WI",Richard Sanchez,CEO,Jewellery designer,Marketing Event,Level 3,Pending,"Anthony,Katherine D",Cannot deliver,2
Lending/Mortgage,209796.0,1300735.2,2020-05-23,Product_1,50 - 100 Million,Category 3,USA,"Buffalo-Cheektowaga-Niagara Falls, NY",Felicia Bell,SVP/General Counsel ,Computer games developer,Others,Level 3,Following up but lead not responding,"Jones,Michael L",Yes,4
Industrial Equip,465447.0,2629775.55,2019-04-19,Product_1,50 - 100 Million,Category 3,USA,"Cleveland, TN",David Barker,Chairman/Chief Innovation Officer,Musician,Contact Email,Level 1,Pending,"Salyers,Daniel L",Not enough,2
Fabricated Products,476468.0,2906454.8,2020-06-28,Product_2,500 Million - 1 Billion,Category 4,India,Nasik,kavita,CEO/Co-Founder/Chairman,Database administrator,Others,Level 2,?,"Turner,Marlon D",No,2
Advertising/PR,107677.0,656829.7,2019-04-11,Product_1,500 Million - 1 Billion,Category 3,USA,"Little Rock-North Little Rock-Conway, AR",Mr. Michael Bautista,CEO,Museum/gallery conservator,Contact Email,Level 2,more than a month,"Hameier,Kurt E",No,1
Wood/Paper,379708.0,2600999.8,2020-08-24,Product_2,500 Million - 1 Billion,Category 4,USA,"Provo-Orem, UT",Christopher Hopkins DDS,SVP/General Counsel ,Press sub,Contact Email,Level 3,?,"Bannister,Joan",We have all the requirements,2
Networking/Comm.,235053.0,1386812.7,2020-09-17,Product_2,100 - 500 Million,Category 2,India,Muzaffarpur,manju devi,CEO,Software engineer,Marketing Event,Level 1,Did not hear back after Level 1,"Dunaway,Antoine",No,3
Banks,70155.0,459515.25,2019-02-15,Product_2,100 - 500 Million,Category 2,USA,"Fresno, CA",Benjamin Sanchez,CEO/President,Information systems manager,Contact Email,Level 3,Following up but lead not responding,"Salyers,Daniel L",No,5
Banks,417486.0,2423867.5390454214,2019-12-20,Product_2,50 - 100 Million,Category 1,India,Guwahati,najda khatoon,CEO/Chairman/President,English as a second language teacher,Contact Email,Level 2,Up-to-date,"Clavey,Therese A",We have all the requirements,1
Architecture/Engineering,477713.0,2699078.45,2020-08-10,Product_1,50 - 100 Million,Category 3,India,Hubli,versha,Chairman/Chief Innovation Officer,Legal secretary,Marketing Event,Level 1,Did not hear back after Level 1,"Irizarry,Yolanda",Not enough,1
Automotive/Transportation,90657.0,562073.4,2019-11-11,Product_1,100 - 500 Million,Category 3,USA,"Vallejo-Fairfield, CA",Cody Cruz,SVP/General Counsel ,Planning and development surveyor,Marketing Event,Level 1,?,"Leu,Darren L",No,4
Other Biz Services,46868.0,271834.4,2019-06-06,Product_2,500 Million - 1 Billion,Category 2,India,Gangtok,sonam,CEO/Co-Founder/Chairman,Accounting technician,Contact Email,Level 1,Did not hear back after Level 1,"Georgakopoulos,Vasilios T",Cannot deliver,5
Electric Utilities,259688.0,1571112.4,2019-05-26,Product_1,500 Million - 1 Billion,Category 3,USA,"St. Joseph, MO-KS",Derek Levine,Executive Vice President,Network engineer,Website,Level 1,More than a week back,"Hebron,Artenia D",Cannot deliver,2
REIT,55326.0,390048.3,2020-05-14,Product_1,100 - 500 Million,Category 4,USA,"Grand Rapids-Wyoming, MI",Molly Rogers,Chief Executive Officer,Information officer,Contact Email,Level 3,Unknown,"Abdul-Hamid,Saud Muhamad",Cannot deliver,5
Banks,240210.0,1405228.5,2020-08-01,Product_1,50 - 100 Million,Category 3,India,Shimla,rani singh,SVP/General Counsel ,Charity fundraiser,Marketing Event,Level 1,Following up but lead not responding,"Van Arter,Derrick",We have all the requirements,3
eCommerce,13283.0,90988.55,2020-12-21,Product_2,500 Million - 1 Billion,Category 4,USA,"San Diego-Carlsbad, CA",Patricia Sherman,Chief Executive Officer,Advertising account planner,Marketing Event,Level 3,Following up but lead not responding,"Gaskins Jr,Franklin D",Deliverable,1
Banks,437453.0,3084043.65,2019-02-17,Product_2,500 Million - 1 Billion,Category 4,India,Kagaznagar,khusbu,Chairman/Chief Innovation Officer,"Development worker, international aid",Marketing Event,Level 3,?,"Ullrich,Rose Anne",Yes,3
REIT,338845.0,2354972.75,2020-01-10,Product_2,100 - 500 Million,Category 4,USA,"Charlotte-Concord-Gastonia, NC-SC",Jennifer Nelson,SVP/General Counsel ,Chief Financial Officer,Contact Email,Level 3,2 days back,"Dunaway,Antoine",We have all the requirements,4
